strategy,base_regime,overlay_col,overlay_state,count,annual_return,annual_vol,sharpe,max_drawdown,VaR(95%),skew
Cross_sectional_momentum_2M,Bull Low Vol,high_corr,True,71,0.02227542146813244,0.12697740177759323,0.17542823491654733,-0.04758563803609894,0.014229175385057658,-0.1727699138228763
Cross_sectional_momentum_2M,Bull Low Vol,strong_breadth,False,128,-0.3956113985295947,0.1380854171284463,-2.8649759457336406,-0.21727176952991212,0.016686903677526357,-0.09028237795761497
Cross_sectional_momentum_2M,Bull Low Vol,strong_breadth,True,358,0.6037875578218199,0.11551685191705978,5.226835286814557,-0.035494485196436165,0.010486544983851214,-0.11110614905663276
Cross_sectional_momentum_2M_w_asset_stop,Bear High Vol,high_corr,False,48,0.032862514903131634,0.0727714672530551,0.45158516302626833,-0.03494001545262193,0.009143628059976223,-1.9525382289919357
Cross_sectional_momentum_2M_w_asset_stop,Bear High Vol,high_corr,True,114,-0.3014403016535212,0.1210610376354518,-2.489986105696873,-0.1418188498250883,0.01338083378998496,0.141242939984111
Cross_sectional_momentum_2M_w_asset_stop,Bear High Vol,strong_breadth,False,140,-0.2631583780660619,0.11630519583566594,-2.2626536688686976,-0.15227987339618787,0.013396816166563836,-0.045124121559360963
Cross_sectional_momentum_2M_w_asset_stop,Bear High Vol,strong_breadth,True,22,0.16764789473905162,0.03727985340918619,4.497010567582898,-0.005288325106174163,0.00231802788778358,0.2561896153479104
Cross_sectional_momentum_2M_w_asset_stop,Bear Low Vol,high_corr,False,52,-0.06260998100101145,0.034993584402706196,-1.789184562532827,-0.012595733770738304,0.00244387578628509,-2.5449567099271597
Cross_sectional_momentum_2M_w_asset_stop,Bear Low Vol,high_corr,True,55,-0.16314512709517648,0.07520772772113865,-2.1692601550215596,-0.05459567814812605,0.0077385352772007835,-1.901419519311169
Cross_sectional_momentum_2M_w_asset_stop,Bear Low Vol,strong_breadth,False,52,-0.15752335437068177,0.07639596266637927,-2.0619329722774142,-0.04674754910322043,0.008403971779720748,-2.1090628030622245
Cross_sectional_momentum_2M_w_asset_stop,Bear Low Vol,strong_breadth,True,55,-0.0742712693691222,0.036170476298100246,-2.0533671925415895,-0.031681098547811426,0.0033474109324778773,-0.6924371874570648
Cross_sectional_momentum_2M_w_asset_stop,Bull High Vol,high_corr,False,143,0.05543095880974591,0.04171488349294528,1.3288053128356514,-0.02251623184498386,0.0034744938199187786,-2.9442368281004567
Cross_sectional_momentum_2M_w_asset_stop,Bull High Vol,high_corr,True,71,0.2631119238790631,0.05926039640209834,4.4399285164036915,-0.015789088971694176,0.004213816601389997,0.34412255416089443
Cross_sectional_momentum_2M_w_asset_stop,Bull High Vol,strong_breadth,False,58,0.05865269217185731,0.08148388767735375,0.7198072385070828,-0.035303905189887796,0.007024044183845092,-0.6911720676795838
Cross_sectional_momentum_2M_w_asset_stop,Bull High Vol,strong_breadth,True,156,0.14404513053155577,0.02778595637280348,5.184098348061368,-0.011730249288260053,0.0023877411294699205,0.5480484725826689
Cross_sectional_momentum_2M_w_asset_stop,Bull Low Vol,high_corr,False,415,0.06311316618591167,0.04357843474731909,1.4482660185447425,-0.047160970583244755,0.002856483011883678,-1.4547130333919922
Cross_sectional_momentum_2M_w_asset_stop,Bull Low Vol,high_corr,True,71,-0.0008147894816599166,0.03847904672604975,-0.021174887399388616,-0.018316017350823333,0.00316459427137543,-1.3262944467731486
Cross_sectional_momentum_2M_w_asset_stop,Bull Low Vol,strong_breadth,False,128,-0.11805929913983004,0.06696974726117387,-1.7628750886488063,-0.05324469713449298,0.009523020220656254,-1.1310951535645575
Cross_sectional_momentum_2M_w_asset_stop,Bull Low Vol,strong_breadth,True,358,0.12266175039800653,0.0289761448565504,4.233197721962568,-0.012768584063972965,0.002464848383374055,0.41780957364595656
Cross_sectional_momentum_3M,Bear High Vol,high_corr,False,48,0.2587810378506197,0.15906412250220348,1.626897591862897,-0.0855403208107467,0.0222093472886215,-1.3364247715632782
Cross_sectional_momentum_3M,Bear High Vol,high_corr,True,114,-0.3520472197350162,0.20947353704263502,-1.6806286116387223,-0.20817711068563316,0.020960108803108366,-0.4598141886925576
